GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
userstock,com.hcl.userstock,UserstockApplication,5,3,0,0,2,1,1,1,1,1
userstock,com.hcl.userstock.config,SwaggerConfig,0,14,0,0,0,3,0,2,0,2
userstock,com.hcl.userstock.service,StockServiceImpl,12,13,0,0,3,3,2,3,2,3
userstock,com.hcl.userstock.entity,UserStockdetails,87,31,0,0,20,13,14,3,14,3
userstock,com.hcl.userstock.controller,StockController,129,3,4,0,37,1,6,1,4,1
